title,author,,publisher, page_count,,publication_date
Odalisque (The Baroque Cycle  Vol. 1  Book 3),Neal Stephenson,,HarperTorch,464,,3/28/2006
Snow Crash,Neal Stephenson/Guy Abadia,,Bantam Books,438,,8/2/2000
Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume II: The Endgame,Dan Harrington/Bill Robertie,,Two Plus Two Publishing LLC,450,,6/1/2005
Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume I: Strategic Play,Dan Harrington/Bill Robertie,,Two Plus Two Publishing LLC,381,,12/1/2004
The Design of Everyday Things,Donald A. Norman,,Basic Books,240,,9/19/2002
Emotional Design: Why We Love (or Hate) Everyday Things,Donald A. Norman,,Basic Books,272,,5/11/2005
The Psychology of Everyday Things,Donald A. Norman,,Basic Books,257,,6/13/1988
No Price Too High: A Pentecostal Preacher Becomes Catholic - The Inspirational Story of Alex Jones as Told to Diane Hanson,Alex C. Jones/Diane M. Hanson/Stephen K. Ray,,Ignatius Press,259,,4/30/2006
The Alchemist,Paulo Coelho/Alan R. Clarke/James Noel Smith,,HarperOne,192,,5/2/2006
The Alchemist,Paulo Coelho/Alan R. Clarke/Özdemir İnce,,HarperCollins,197,,5/1/1993
Fullmetal Alchemist  Vol. 9 (Fullmetal Alchemist  #9),Hiromu Arakawa/Akira Watanabe,,VIZ Media LLC,192,,9/19/2006
Fullmetal Alchemist  Vol. 3 (Fullmetal Alchemist  #3),Hiromu Arakawa/Akira Watanabe,,VIZ Media LLC,192,,9/13/2005
Fullmetal Alchemist  Vol. 8 (Fullmetal Alchemist  #8),Hiromu Arakawa/Akira Watanabe,,VIZ Media LLC,192,,7/18/2006
Fullmetal Alchemist  Vol. 1 (Fullmetal Alchemist  #1),Hiromu Arakawa/Akira Watanabe,,VIZ Media LLC,192,,5/3/2005
Fullmetal Alchemist  Vol. 4 (Fullmetal Alchemist  #4),Hiromu Arakawa/Akira Watanabe,,VIZ Media LLC,200,,11/8/2005
The Illustrated Alchemist: A Fable about Following Your Dream,Paulo Coelho/Alan R. Clarke/Mœbius,,HarperCollins Publishers,198,,11/1/1998
Fullmetal Alchemist  Vol. 2 (Fullmetal Alchemist  #2),Hiromu Arakawa/Akira Watanabe,,VIZ Media LLC,192,,7/5/2005
Pompeii,Robert   Harris,,Random House Trade Paperbacks,274,,11/8/2005
The Last Days of Pompeii,Edward Bulwer-Lytton/John Gregory Betancourt,,Borgo Press,360,,12/3/2002
Of Mice and Men,John Steinbeck,,Penguin Books,103,,1/8/2002
The Game: Penetrating the Secret Society of Pickup Artists,Neil Strauss,,It Books,464,,9/6/2005
The Westing Game,Ellen Raskin,,Puffin,182,,4/12/2004
The Egypt Game,Zilpha Keatley Snyder,,Turtleback Books,215,,7/7/2009
Memoirs of a Geisha,Arthur Golden,,Vintage Books USA,503,,11/22/2005
Memoirs of a Geisha,Arthur Golden,,Random House Large Print Publishing,434,,11/15/2005
Memoirs of a Geisha,Arthur Golden,,Vintage,497,,12/1/2005
Memoirs of a Geisha: A Portrait of the Film,David        James/Peggy Mulloy/Rob Marshall/Arthur Golden,,Newmarket Press,144,,10/20/2005
Memoirs of a Geisha,Arthur Golden,,Vintage,497,,6/4/1998
Geisha of Gion,Mineko Iwasaki/Rande Brown,,Pocket Books,334,,5/6/2003
Love As A Foreign Language #5,J. Torres/Eric  Kim,,Oni Press,58,,2/1/2006
Jungle Love,Margaret Johnson/Philip Prowse,,Cambridge University Press,95,,8/1/2002
The 5 Love Languages / The 5 Love Languages Journal,Gary Chapman,,Moody Publishers,0,,1/1/2005
Angels & Demons (Robert Langdon  #1),Dan Brown,,Pocket Books,736,,4/1/2006
Ángeles y demonios (Robert Langdon  #1),Dan Brown,,Umbriel,508,,12/1/2005
Angeles & Demonios,Dan Brown/Raúl Amundaray,,FonoLibro,18,,12/1/2005
The Da Vinci Code (Robert Langdon  #2),Dan Brown,,Anchor,489,,3/28/2006
The Da Vinci Code,Dan Brown,,Broadway Books,467,,3/28/2006
Da Vinci Code (Robert Langdon  #2),Dan Brown/Daniel Roche,,Pocket,744,,5/3/2005
Deception Point,Dan Brown,,Pocket Books,736,,4/1/2006
Deception Point,Dan Brown,,Corgi Books,585,,5/1/2004
Deception Point,Dan Brown,,Bantam Press,448,,8/1/2005
A Killing Rain (Louis Kincaid  #6),P.J. Parrish,,Pinnacle,383,,2/1/2005
The Millionaire Next Door: The Surprising Secrets of America's Wealthy,Thomas J. Stanley/William D. Danko,,Gallery Books,258,,10/1/1998
Think and Grow Rich: The Landmark Bestseller Now Revised and Updated for the 21st Century,Napoleon Hill,,Tarcherperigee,320,,9/1/2005
Think and Grow Rich,Napoleon Hill,,High Roads Media,368,,8/7/2004
Pragmatic Version Control: Using Subversion (The Pragmatic Starter Kit Series),Mike   Mason,,Pragmatic Bookshelf,256,,6/7/2006
Read My Lips: Sexual Subversion and the End of Gender,Riki Anne Wilchins,,Firebrand Books,288,,6/1/2005
Trump: The Art of the Deal,Donald J. Trump/Tony Schwartz,,Ballantine Books,384,,12/28/2004
The Richest Man in Babylon,George S. Clason,,Berkley Books,194,,2/1/2008
The Richest Man in Babylon,George S. Clason,,Recorded Books  Inc.,4,,6/17/2005
Shibumi,Trevanian/Gisela Stege,,Broadway Books,480,,5/10/2005
1776,David McCullough,,Simon  Schuster,386,,7/4/2006
1776,Peter  Stone/Sherman Edwards,,Penguin Books,192,,11/18/1976
The Crescent Obscured: The United States and the Muslim World  1776-1815,Robert J. Allison,,University of Chicago Press,284,,7/15/2000
The Good Earth (House of Earth  #1),Pearl S. Buck,,Howard Publishing Co,418,,3/4/2009
Purpose Driven Life - For Commuters: What on Earth Am I Here For?,Rick Warren,,Zondervan,5,,3/15/2005
Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser,,Harper Perennial,399,,7/5/2005
Fast Food Nation: What The All-American Meal is Doing to the World,Eric Schlosser,,Penguin Books,384,,4/4/2002
Snow Flower and the Secret Fan,Lisa See,,Random House,269,,2/21/2006
The Broker,John Grisham,,Delta,422,,9/26/2006
The Power Broker: Robert Moses and the Fall of New York,Robert A. Caro,,Vintage,1344,,7/12/1975
The Power Broker: A Novel (Christian Gillette  #3),Stephen W. Frey,,Ballantine Books,320,,7/25/2006
Body For Life: 12 Weeks to Mental and Physical Strength,Bill Phillips/Michael D'Orso,,HarperCollins Publishers  Inc.,201,,6/10/1999
Body for Life for Women: A Woman's Plan for Physical and Mental Transformation,Pamela Peeke/Cindy Crawford,,Rodale Books,288,,4/1/2005
Eating for Life: Your Guide to Great Health  Fat Loss and Increased Energy!,Bill Phillips,,High Point Media,405,,11/26/2003
The Warren Buffett Way,Robert G. Hagstrom/Bill Miller/Kenneth L. Fisher,,John Wiley & Sons,245,,10/1/2005
The Warren Buffett CEO: Secrets from the Berkshire Hathaway Managers,Robert P. Miles/Tom Osborne,,Wiley,432,,4/18/2003
Monkey Business: True Story of the Scopes Trial,Marvin N. Olasky/John R. Perry,,B Books,368,,5/15/2005
Junie B. Jones and a Little Monkey Business (Junie B. Jones  #2),Barbara Park/Denise Brunkus,,Random House Books for Young Readers,68,,2/16/1993
Monkey Business,Sarah Mlynowski,,Red Dress Ink,392,,9/24/2004
Liar's Poker,Michael   Lewis,,Penguin Books,256,,10/1/1990
Liar's Poker: A Harry Garnish Mystery,Frank McConnell,,Walker & Company,214,,6/1/1993
Risotto: 30 Simply Delicious Vegetarian Recipes from an Italian Kitchen,Ursula Ferrigno/Jason Lowe/Maxine  Clark,,Ryland Peters & Small,64,,3/1/2001
Giada's Family Dinners,Giada De Laurentiis/Victoria Pearson,,Clarkson Potter,256,,4/4/2006
Everyday Italian: 125 Simple and Delicious Recipes,Giada De Laurentiis,,Clarkson Potter,256,,2/22/2005
Everyday Pasta,Giada De Laurentiis/Victoria Pearson,,Clarkson Potter,240,,4/3/2007
Tyler's Ultimate: Brilliant Simple Food to Make Any Time,Tyler Florence/Petrina Tinslay,,Clarkson Potter,256,,9/26/2006
Tyler Florence's Real Kitchen: An Indespensible Guide for Anybody Who Likes to Cook,Tyler Florence/JoAnn Cianciulli/Bill Bettencourt/Bobby Flay,,Clarkson Potter Publishers,304,,3/25/2003
Eat This Book: Cooking with Global Fresh Flavors,Tyler Florence/Petrina Tinslay,,Clarkson Potter Publishers,287,,10/1/2004
Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt/Stephen J. Dubner,,William Morrow,320,,10/17/2006
Freakonomics: Un economista políticamente incorrecto explora el lado oculto de lo que nos afecta,Steven D. Levitt/Stephen J. Dubner,,Ediciones B,250,,8/1/2006
Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt/Stephen J. Dubner,,Harper,496,,12/8/2006
The Last Assassin (John Rain  #5),Barry Eisler,,Putnam Publishing Group,338,,6/1/2006
Life of Pi,Yann Martel,,Mariner Books / Harvest Books,401,,5/3/2004
L'Histoire de Pi,Yann Martel/Nicole Martel/Emile Martel,,Gallimard,448,,11/24/2005
Shadows and Wind: A View of Modern Vietnam,Robert Templer,,Penguin Books,400,,9/1/1999
A Million Little Pieces,James Frey,,Anchor Books,515,,9/22/2005
A Million Little Pieces of Feces,Python Bonkers,,Lulu.com,256,,2/10/2006
A Million Little Lies,James Pinocchio/Pablo Fenjves,,William Morrow Paperbacks,191,,3/28/2006
The Leadership Challenge,James M. Kouzes/Barry Z. Posner,,Jossey-Bass,458,,8/7/2003
Lincoln on Leadership: Executive Strategies for Tough Times,Donald T. Phillips,,Business Plus,193,,2/1/1993
Leadership in Organizations,Gary Yukl,,Prentice Hall,542,,7/7/2005
Leadership,Rudolph W. Giuliani,,Little  Brown,397,,10/1/2002
Men Are from Mars  Women Are from Venus,John Gray,,Harper Paperbacks,368,,4/3/2012
Mars and Venus Book of Days: 365 Inspriations to Enrich Your Relationships,John Gray,,Harper,368,,10/21/1998
Men Are from Mars  Women Are from Venus,John Gray,,HarperAudio,2,,4/3/2007
How to Succeed with Women,Ron  Louis/David Copeland,,Prentice Hall Press,320,,10/29/1998
The Clan of the Cave Bear (Earth's Children  #1),Jean M. Auel,,Bantam,512,,6/25/2002
The Clan of the Cave Bear (Earth's Children  #1),Jean M. Auel,,Crown Publishing Group,468,,5/4/1980
Moneyball: The Art of Winning an Unfair Game,Michael   Lewis,,W. W. Norton  Company,317,,3/17/2004
Juiced Official Strategy Guide,Doug Walsh,,BradyGames,112,,6/1/2005
The 48 Laws of Power,Robert Greene/Joost Elffers,,Penguin (Business),452,,9/1/2000
Gates of Fire,Steven Pressfield,,Bantam,392,,9/27/2005
Fire Sea (The Death Gate Cycle  #3),Margaret Weis/Tracy Hickman,,Spectra Books,414,,3/1/1992
The Gate of Fire (Oath Of Empire Book Two),Thomas Harlan,,Tor Classics,721,,6/18/2001
The Afghan Campaign,Steven Pressfield,,Doubleday Books,354,,7/1/2006
Tides of War,Steven Pressfield,,Bantam,448,,8/28/2001
Last of the Amazons,Steven Pressfield,,Bantam,400,,7/1/2003
The War of Art: Break Through the Blocks & Win Your Inner Creative Battles,Steven Pressfield/Robert McKee,,Warner Books,168,,4/1/2003
Gita on the Green,Stephen J. Rosen/Steven Pressfield,,Continuum,176,,5/30/2002
Blood Stripes: The Grunt's View of the War in Iraq,David J. Danelo/Steven Pressfield,,Stackpole Books,340,,4/24/2006
Phaedrus and Letters VII and VIII,Plato/Walter Hamilton,,Penguin Classics,160,,1/30/1973
Phaedrus,Plato/Robin Waterfield,,Oxford University Press  USA,128,,1/16/2003
Phaedrus,Plato/C.J. Rowe,,Penguin Classics,176,,8/25/2005
Lysis/Phaedrus/Symposium: Plato on Homosexuality,Plato/Benjamin Jowett,,Prometheus Books,157,,12/1/1991
Enthusiasm and Divine Madness,Josef Pieper/Richard Winston/Clara Winston,,St. Augustines Press,125,,2/11/2019
On Love: Lysis/Symposium/Phaedrus/Alcibiades/Selections from Republic & Laws,Plato/C.D.C. Reeve,,Hackett Publishing Company  Inc.,272,,6/15/2006
Gorgias/Phaedrus (Agora),Plato/James H. Nichols Jr.,,Cornell University Press,233,,9/1/1998
Statesman,Plato/C.J. Rowe,,Hackett Publishing Company  Inc.,128,,3/15/1999
Gorgias,Plato/Walter Hamilton/Chris Emlyn-Jones,,Penguin Classics,208,,1/29/2004
The Histories,Herodotus/Aubrey de Sélincourt/John M. Marincola,,Penguin Books,716,,1/30/2003
The Histories,Herodotus/Aubrey de Sélincourt/John M. Marincola,,Penguin Classics,622,,9/1/1954
The History (Great Minds),Herodotus/Henry Francis Cary,,Prometheus Books,613,,11/1/1992
The Histories,Herodotus/Carolyn Dewald/Robin Waterfield,,Oxford University Press,772,,11/19/1998
The Histories,Herodotus/Aubrey de Sélincourt/Andrew Robert Burn,,Penguin Classics,653,,8/30/1970
The Histories,Herodotus/Jennifer Tolbert Roberts/Walter Blanco,,W.W. Norton & Company,464,,1/17/1992
The Histories,Herodotus/Edward Henry Blakeney/George Rawlinson/Rosalind Thomas,,Everyman's Library 234,816,,3/25/1997
The History,Herodotus/Peter Grene,,University of Chicago Press,710,,3/14/1987
The Iliad,Homer/Robert Fagles/Bernard Knox,,Penguin Classics,683,,4/29/1999
Iliad,Homer/Stanley Lombardo/Sheila Murnaghan,,Hackett Publishing Company  Inc.,574,,3/12/1997
The Iliad,Homer/Robert Fitzgerald/Andrew Ford,,Farrar  Straus and Giroux,588,,4/3/2004
The Iliad/The Odyssey,Homer/Robert Fagles/Bernard Knox,,Penguin Classics,1556,,11/1/1999
The Iliad,Homer/E.V. Rieu/Peter Jones/D.C.H. Rieu,,Penguin Classics,462,,1/30/2003
The Iliad,Homer/W.H.D. Rouse,,Signet Classics,312,,8/1/1999
The Essential Iliad,Homer/Sheila Murnaghan/Stanley Lombardo,,Hackett Publishing Company  Inc.,216,,9/15/2000
The Odyssey,Homer/Robert Fagles/Bernard Knox,,Penguin Classics,541,,11/30/2006
The Odyssey,Homer/Robert Fitzgerald/D.S. Carne-Ross,,Farrar  Straus and Giroux,515,,11/5/1998
The Odyssey,Homer/Richmond Lattimore,,Harper Perennial,374,,6/1/1999
The Odyssey,Homer/E.V. Rieu/Peter Jones/D.C.H. Rieu,,Penguin Classics,324,,1/30/2003
The Odyssey,Homer/W.H.D. Rouse,,Signet Classics,304,,8/1/1999
Aeneid: Selections from Books 1  2  4  6  10  12,Virgil/Barbara Weiden Boyd,,Bolchazy-Carducci Publishers,161,,1/1/2001
Eclogues. Georgics. Aeneid: Books 1-6,Virgil/Henry Rushton Fairclough/G.P. Goold,,Harvard University Press,607,,10/1/1999
City Eclogue,Ed Roberson,,Atelos Press,136,,1/30/2006
The Eclogues and The Georgics,Virgil/Cecil Day-Lewis,,Oxford University Press,180,,9/2/1999
Paul Kirk's Championship Barbecue Sauces: 175 Make-Your-Own Sauces  Marinades  Dry Rubs  Wet Rubs  Mops and Salsas,Paul  Kirk,,Harvard Common Press,272,,12/3/1997
The Complete Pelican Shakespeare,William Shakespeare/Stephen Orgel/A.R. Braunmuller,,Viking,1808,,11/7/2002
The Complete Works,William Shakespeare,,Gramercy,1248,,10/13/1991
Hamlet,William Shakespeare/Harold Bloom/Rex Gibson,,Cambridge University Press,289,,8/1/2005
The Compleat Works of Wllm Shkspr (abridged),Reduced Shakespeare Company/Adam Long/Daniel Singer/Jess Winfield,,Applause Books,137,,2/1/1994
The Pilgrimage: A Contemporary Quest for Ancient Wisdom,Paulo Coelho/Alan R. Clarke,,HarperOne,272,,5/1/1995
The Valkyries,Paulo Coelho/Alan R. Clarke,,HarperOne,212,,9/28/1996
Warrior of the Light,Paulo Coelho,,HarperOne,142,,3/30/2004
The Zahir,Paulo Coelho/Margaret Jull Costa,,HarperOne,336,,7/3/2006
By the River Piedra I Sat Down and Wept,Paulo Coelho/Alan R. Clarke,,HarperOne,208,,5/23/2006
The Fifth Mountain,Paulo Coelho/Clifford E. Landers,,HarperOne,256,,4/26/2000
Veronika Decides to Die,Paulo Coelho/Margaret Jull Costa/Kâmuran Şipal,,Harper Perennial,210,,6/1/2006
Hamlet,William Shakespeare/Stephen Orgel/A.R. Braunmuller,,Penguin Books,148,,12/1/2001
Cliffs Notes on Shakespeare's Hamlet,Carla Lynn Stockton,,Cliffs Notes,129,,5/30/2000
Shakespeare's Hamlet,William Shakespeare/Terri Mategrano,,Cliffs Notes,240,,5/29/2000
Hamlet's Mill: An Essay Investigating the Origins of Human Knowledge and Its Transmission Through Myth,Giorgio De Santillana/Hertha Von Dechend,,Nonpareil Books,450,,3/24/2015
History of the Peloponnesian War: Bk. 1-2,Thucydides/C.F. Smith,,Harvard University Press,496,,1/1/1919
On Justice  Power and Human Nature: Selections from The History of the Peloponnesian War,Thucydides/Paul Woodruff,,Hackett Publishing Company  Inc.,172,,10/1/1993
History of the Peloponnesian War: Bk. 5-6,Thucydides/C.F. Smith,,Harvard University Press,400,,1/1/1921
The Peloponnesian War,Thucydides/Steven Lattimore,,Hackett Publishing Company  Inc.,530,,6/1/1998
The Peloponnesian War: A New Translation  Backgrounds  Interpretations,Thucydides/Jennifer Tolbert Roberts/Walter Blanco,,W. W. Norton & Company,554,,7/17/1998
History of the Peloponnesian War  Bk. 7-8,Thucydides/C.F. Smith,,Harvard University Press,480,,1/1/1923
Thucydides  Book 6 Commentary,Cynthia W. Shelmerdine,,Bryn Mawr Commentaries,34,,1/30/1989
Euripides I: Alcestis / The Medea / The Heracleidae / Hippolytus,Euripides/Richmond Lattimore/David Grene/Rex Warner/Ralph Gladstone,,University of Chicago Press,221,,2/15/1955
Euripides V: Electra / The Phoenician Women / The Bacchae,Euripides/David Grene/Richmond Lattimore/Emily Townsend Vermeule/Elizabeth Wyckoff/William Arrowsmith,,University of Chicago Press,228,,1/15/1969
Euripides IV: Rhesus / The Suppliant Women / Orestes / Iphigenia in Aulis,Euripides/David Grene/Richmond Lattimore/William Arrowsmith/Frank William Jones/Charles R. Walker,,University of Chicago Press,307,,11/15/1968
Grief Lessons: Four Plays by Euripides,Anne Carson/Euripides,,New York Review of Books,312,,8/1/2006
Ten Plays,Euripides/Moses Hadas/John Maclean,,Bantam Classics,432,,8/1/1990
Euripides III: Hecuba / Andromache / The Trojan Women / Ion (Complete Greek Tragedies  #7),Euripides/David Grene/Richmond Lattimore/William Arrowsmith/John Frederick Nims/Ronald Frederick Willetts,,University of Chicago Press,255,,1/15/1992
Euripides II: The Cyclops / Heracles / Iphigenia in Tauris / Helen,Euripides/David Grene/Richmond Lattimore/Witter Bynner/William Arrowsmith,,University of Chicago Press,264,,4/15/2002
Medea and Other Plays,Euripides/John Davie/Richard Rutherford,,Penguin Books,206,,3/27/2003
Cyclops / Alcestis / Medea,Euripides/David Kovacs,,Loeb Classical Library,432,,1/1/1994
Medea,Euripides/Donald J. Mastronarde,,Cambridge University Press,431,,9/16/2002
The Bacchae and Other Plays,Euripides/John Davie/Richard Rutherford,,Penguin Classics,360,,1/26/2006
Bakkhai,Euripides/Reginald Gibbons/Peter H. Burian,,Oxford University Press  USA,160,,2/22/2001
Plays 1: Medea/The Phoenician Women/Bacchae,Euripides/David Thompson/J. Michael Walton,,Bloomsbury Methuen Drama,192,,11/9/2000
The Trojan Women and Hippolytus,Euripides,,Dover Publications,64,,7/17/2002
The Bacchae of Euripides: A Communion Rite,Wole Soyinka,,W. W. Norton  Company,128,,7/17/2004
Orestes and Other Plays,Euripides/James Morwood/Robin Waterfield,,Oxford University Press,282,,12/20/2001
Children of Heracles / Hippolytus / Andromache / Hecuba,Euripides/David Kovacs,,Loeb Classical Library,528,,2/15/1995
Alcestis,Euripides/William Arrowsmith,,Oxford University Press  USA,142,,2/1/1990
Suppliant Women / Electra / Heracles,Euripides/David Kovacs,,Loeb Classical Library,464,,9/1/1998
Medea,Euripides/Georgia Ann Machemer/Michael   Collier,,Oxford University Press  USA,116,,8/10/2006
Euripides: Medea,William Allan,,Bristol Classical Press,160,,10/31/2002
CliffsNotes on Euripides' Medea and Electra,Robert J. Milch,,Cliffs Notes,69,,9/13/1965
Trojan Women / Iphigenia Among the Taurians / Ion,Euripides/David Kovacs,,Loeb Classical Library,528,,12/1/1999
Helen / Phoenician Women / Orestes,Euripides/David Kovacs,,Loeb Classical Library,605,,6/15/2002
Euripides: Iphigenia at Aulis (Companions to Greek & Roman Tragedy),Euripides/Pantelis Michelakis,,Bristol Classical Press,144,,3/9/2006
The Complete Greek Tragedies  Volume 3: Euripides,Euripides/David Grene/Richmond Lattimore,,University of Chicago Press,672,,8/1/1992
Aeschylus I: Oresteia (Agamemnon  The Libation Bearers  The Eumenides),Aeschylus/David Grene/Richmond Lattimore,,University of Chicago Press,171,,5/15/1969
Aeschylus II: The Suppliant Maidens  The Persians  Seven against Thebes  and Prometheus Bound (The Complete Greek Tragedies),Aeschylus/David Grene/Richmond Lattimore/Seth Benardete,,University of Chicago Press,188,,2/1/1992
The Oresteia,Aeschylus/Alan Shapiro/Peter H. Burian,,Oxford University Press  USA,304,,10/7/2004
The Oresteia: Agamemnon  The Libation Bearers  The Eumenides,Aeschylus/Robert Fagles/William Bedell Stanford,,Penguin Classics,335,,2/7/1984
Oresteia,Aeschylus/Peter Meineck/Helene P. Foley,,Hackett Publishing Company  Inc.,224,,9/15/1998
Prometheus Bound and Other Plays,Aeschylus/Philip Vellacott,,Penguin Books,160,,8/30/1961
The Oresteia,Aeschylus/Ted Hughes,,Farrar  Straus and Giroux,208,,9/4/2004
Aeschylus  1: The Oresteia: Agamemnon/The Libation Bearers/The Eumenides,Aeschylus/David R. Slavitt/Smith Palmer Bovie,,University of Pennsylvania Press,178,,11/1/1997
The Complete Greek Tragedies  Volume 1: Aeschylus,Aeschylus/Richmond Lattimore/David Grene,,University of Chicago Press,358,,8/1/1992
Aeschylus: The Oresteia (A Student Guide: Landmarks of World Literature),Simon Goldhill,,Cambridge University Press,95,,1/22/2004
The Oresteia: Agamemnon  Choephoroe & Eumenides (Everyman's Library  No. 260),Aeschylus/George Thomson/Richard Seaford,,Everyman's Library,127,,1/20/2004
Aeschylus 2: The Persians/Seven Against Thebes/The Suppliants/Prometheus Bound,Aeschylus/David R. Slavitt/Smith Palmer Bovie,,University of Pennsylvania Press,232,,1/1/1998
The Oresteia Trilogy: Agamemnon/The Libation-Bearers/The Furies,Aeschylus/E.D.A. Morshead,,Dover Publications,151,,9/24/1996
The Suppliant Maidens/The Persians/Seven against Thebes/Prometheus Bound,Aeschylus/E.D.A. Morshead,,Kessinger Publishing,208,,6/17/2004
Sophocles II: Ajax/Women of Trachis/Electra/Philoctetes (Complete Greek Tragedies 4),Sophocles/David Grene/Richmond Lattimore/John Moore/Michael Jameson,,University of Chicago Press,254,,5/15/1969
The Oedipus Plays of Sophocles: Oedipus the King; Oedipus at Colonus; Antigone,Sophocles/Paul Roche,,Plume,288,,5/1/1996
The Complete Plays,Sophocles/Paul Roche,,New American Library,420,,3/1/2001
The Oedipus Cycle: Oedipus Rex  Oedipus at Colonus  Antigone,Sophocles/Robert Fitzgerald/Dudley Fitts,,Mariner Books,259,,11/1/2002
The Three Theban Plays: Antigone  Oedipus the King  Oedipus at Colonus,Sophocles/Robert Fagles/Bernard Knox,,Penguin Books,430,,1/3/2000
Theban Plays,Sophocles/Peter Meineck/Paul Woodruff,,Hackett Publishing Company  Inc.,304,,3/15/2003
The Theban Plays (Everyman's Library  #93),Sophocles/David Grene/Charles Segal,,Alfred A. Knopf,223,,10/18/1994
Electra and Other Plays,Sophocles/E.F. Watling,,Penguin,218,,4/30/1953
Antigone; Oedipus the Kingn; Electra,Sophocles/Edith Hall/H.D.F. Kitto,,Oxford University Press,178,,9/17/1998
Oedipus Rex  (The Theban Plays  #1),Sophocles/J.E. Thomas,,Prestwick House - (Literary Touchstone Classic),75,,6/22/2006
The Oedipus Plays of Sophocles,Sophocles/Paul Roche,,Signet Books (NY),390,,9/1/1958
Oedipus Rex (Greek and Latin Classics),Sophocles/Roger D. Dawe,,Cambridge University Press,214,,8/1/2006
Oedipus the King,Sophocles/Bernard Knox/Cynthia Brantley Johnson,,Simon  Schuster,144,,7/1/2005
Four Plays: The Clouds/The Birds/Lysistrata/The Frogs,Aristophanes/William Arrowsmith/Richmond Lattimore/Douglass Parker,,Plume,624,,11/1/1984
Three Plays by Aristophanes: Lysistrata/Women at the Thesmophoria/Assemblywomen,Aristophanes/Jeffrey Henderson,,Routledge,256,,8/27/1996
The Complete Plays,Aristophanes/Moses Hadas,,Bantam Classics,577,,3/1/1984
Aristophanes 1: The Acharnians/Peace/Celebrating Ladies/Wealth,Aristophanes/David R. Slavitt,,University of Pennsylvania Press,336,,1/29/1998
Clouds/Wasps/Birds (Aristophanes 1),Aristophanes/Peter Meineck,,Hackett Publishing Company  Inc.,480,,9/15/1998
Lysistrata and Other Plays,Aristophanes/Alan H. Sommerstein,,Penguin Classics,241,,1/30/2003
Acharnians,Aristophanes/Jeffrey Henderson,,Focus Publishing/R. Pullins Company,96,,5/1/2003
Clouds,Aristophanes/Kenneth James Dover,,Oxford University Press  USA,254,,12/15/1969
Clouds/Wasps/Peace,Aristophanes/Jeffrey Henderson,,Loeb Classical Library/Harvard University Press,624,,12/15/1998
Three Plays: The Wasps / The Poet and the Women / The Frogs,Aristophanes/David B. Barrett,,Penguin Books,224,,2/28/1964
Four Comedies: Lysistrata / The Frogs / The Birds / Ladies' Day,Aristophanes/Dudley Fitts,,Harcourt,400,,1/6/2003
Frogs/Assemblywomen/Wealth (Loeb Classical Library 180),Aristophanes/Jeffrey Henderson,,Harvard University Press,608,,5/1/2002
Cliffs Notes on Aristophanes' Lysistrata  The Birds  The Clouds  The Frogs,W. John Campbell,,Cliffs Notes,80,,12/29/1983
Aristophanes and Athens: An Introduction to the Plays,Douglas M. MacDowell,,Oxford University Press,376,,10/1/1995
Lysistrata,Aristophanes/Douglass Parker,,Signet,98,,2/1/1970
Peace,Aristophanes/S. Douglas Olson,,Oxford University Press  USA,408,,2/25/1999
Lysistrata,Aristophanes/Sarah Ruden,,Hackett Publishing Company  Inc.,132,,3/1/2003
The Knights / Peace / The Birds / The Assembly Women / Wealth,Aristophanes/Alan H. Sommerstein/David B. Barrett/David Brett,,Penguin Classics,335,,7/27/1978
Genres in Dialogue: Plato and the Construct of Philosophy,Andrea Wilson Nightingale,,Cambridge University Press,238,,4/13/2000
The Curious Incident of the Dog in the Night-Time,Mark Haddon,,Vintage,226,,5/18/2004
The Night Gardener,George Pelecanos,,Little Brown and Company,372,,8/8/2006
Twelfth Night,William Shakespeare,,Simon Schuster,272,,7/1/2004
Brokeback Mountain,Annie Proulx,,Scribner,55,,12/2/2005
Getting Things Done: The Art of Stress-Free Productivity,David    Allen,,Penguin Books,267,,12/31/2002
Getting Things Done When You Are Not in Charge,Geoffrey M. Bellman,,Berrett-Koehler Publishers,176,,8/27/2001
Formas breves,Ricardo Piglia,,Anagrama,144,,6/1/2001
El último lector,Ricardo Piglia,,Anagrama,209,,7/15/2009
Money to Burn,Ricardo Piglia/Amanda Hopkinson,,Granta UK,209,,8/1/2004
Respiración artificial,Ricardo Piglia,,Anagrama,218,,3/1/2008
Plata quemada,Ricardo Piglia,,Anagrama,227,,7/1/2005
American Government: Continuity and Change  Alternate Edition,Karen  O'Connor/Larry J. Sabato,,Longman Publishing Group,664,,3/11/2005
Essentials of American and Texas Government: Continuity and Change,Karen  O'Connor/Larry J. Sabato,,Longman Publishing Group,854,,7/29/2005
El túnel,Ernesto Sabato,,Seix Barral,159,,7/1/2003
The Confessions (Works of Saint Augustine 1),Augustine of Hippo/John E. Rotelle/Maria Boulding,,New City Press,416,,12/1/2002
The City of God,Augustine of Hippo/Thomas Merton/Marcus Dods,,Random House,905,,9/12/2000
